,Accuracy,Precision,Recall,F1_Score,Cohens Kappa
VGG_Full,0.1342505606400388,0.002983345792000862,0.022222222222222223,0.0052604704736798355,0.0
ResNet_Full,0.34050548518092005,0.3432420284847787,0.22422764071145523,0.2319315997579336,0.29760357446616315
VGG_Freeze,0.28941147948360507,0.2477285486949642,0.1633671268922839,0.1655069340749818,0.23752269121018577
ResNet_Freeze,0.302745620946724,0.27846347146402073,0.17893483656768736,0.17909432357848568,0.25176830202141953
EfficientNet,0.6534941511606764,0.6371764549449539,0.5929458379899022,0.602419166988644,0.636693606480284
