,Accuracy,Precision,Recall,F1_Score,Cohens Kappa
ResNet_Full,0.34565731256439786,0.35525561356749275,0.20652685335513812,0.21409237520579316,0.2988736674199519
VGG_Freeze,0.33238378083520215,0.29398896798242347,0.21564399419952707,0.2206939384664623,0.28890809299358877
EfficientNet,0.5659130856415541,0.5497424350567118,0.521053130658286,0.5128490726778004,0.5478953336969428
ResNet_Freeze,0.26383417176798596,0.22194274211650153,0.16564000131806889,0.16456127488077232,0.21625542889986216
VGG_Full,0.1342505606400388,0.002983345792000862,0.022222222222222223,0.0052604704736798355,0.0
